date,BC_1MONTH,BC_2MONTH,BC_3MONTH,BC_4MONTH,BC_6MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_5YEAR,BC_7YEAR,BC_10YEAR,BC_20YEAR,BC_30YEAR
1990-01-02,,,,,,,,,,,,,
1990-01-03,7.848870479958624,7.848100109913343,7.847518889533975,7.8471142374102945,7.846787705569358,7.848934765945235,7.861786498271751,7.879060774510207,7.9120488529861435,7.936610330922915,7.959687835962056,7.988245468105919,7.99756360938389
1990-01-04,7.900891482165792,7.900348476617738,7.899999442793144,7.899830468316914,7.8999809813025745,7.903535474704725,7.918671148069277,7.937200029336579,7.969989743341201,7.9923314871993965,8.01126436441674,8.03112907962929,8.037026606659065
1990-01-05,7.849026496080272,7.850870251501946,7.85275165104041,7.854666174239632,7.858577892620518,7.870718113375635,7.8949958930768345,7.917200234874298,7.9524331497601555,7.976599849033186,7.999083636750608,8.027948253673062,8.037638665860387
1990-01-08,7.787075704446818,7.792575198221508,7.797931629390651,7.803149330843921,7.813185156579677,7.840371103835668,7.8839164501547545,7.916622155101149,7.960936734425879,7.988323311006828,8.012923907357605,8.044871508959638,8.055788445813647
1990-01-09,7.804962320393897,7.8096222429886195,7.814190288936785,7.818668573844836,7.82736403334064,7.851498975336258,7.892186242817961,7.924725706541546,7.972223240473242,8.003946125243193,8.034160355698504,8.075395752395295,8.089703987091983
1990-01-10,7.780794461476153,7.785974473769833,7.791066849111109,7.796072565555072,7.8058280613653475,7.833123266936684,7.879642552030053,7.916998913053049,7.971063536863481,8.006372842305097,8.039061243691881,8.082119590337248,8.09684171570862
1990-01-11,7.713775283470253,7.726408792954262,7.7383554206553695,7.749654182828382,7.770453769208514,7.820756572680151,7.8841901552049185,7.9203446354242555,7.961389769276392,7.989556557130183,8.023628012416323,8.086743127016762,8.111324396850636
1990-01-12,7.764746081495888,7.771686281397957,7.778399785323228,7.784896492085383,7.797276743206273,7.830105923099044,7.881002100112756,7.918613367060984,7.970846011356788,8.005649151206203,8.040069459232512,8.090148734272184,8.108036276535579
1990-01-16,7.720041538247779,7.731514985538733,7.742559257032726,7.753193345048125,7.773302558247212,7.825504918341557,7.902373626956725,7.955095278907676,8.021455524860011,8.061436734903973,8.098626783750747,8.151010738790577,8.169644101734724
1990-01-17,7.874720495022829,7.888674186686468,7.901906650916106,7.914456144661254,7.937649535281842,7.994251313787833,8.066410909502949,8.106851861946248,8.147688799141942,8.170057589111645,8.193604563520102,8.235322051083331,8.25157827046103
1990-01-18,7.931072137301384,7.937477525545147,7.943720687360633,7.949806284759593,7.961522717028933,7.9933326383023795,8.044474257487064,8.082991848506682,8.13518693361301,8.167322674184126,8.196000336844085,8.232892696346937,8.245446813027518
1990-01-19,7.991932761012704,8.007652555389546,8.022586663135897,8.036774193872581,8.063056548167296,8.12750334150157,8.209796790442615,8.254683877244442,8.294311869078637,8.30964879942974,8.321303370660463,8.33978543139921,8.347108509650148
1990-01-22,7.9374701585807825,7.953898654981762,7.969445627189275,7.984157199811738,8.01124716079856,8.076594713952192,8.156762056874218,8.197793319779588,8.231073379249194,8.243650809556971,8.255245115333542,8.278487009811515,8.288187591385661
1990-01-23,7.932222352013542,7.9459861245097745,7.959107764614765,7.971618589051232,7.9949255541439594,8.05300560953019,8.130494060866132,8.176339571903892,8.223553878199485,8.246843812762972,8.267114439488086,8.29734400728962,8.308614628587856
1990-01-24,7.873388191344285,7.893084389016956,7.911695395103211,7.929279139130026,7.961581938860188,8.039008626138468,8.13254635821476,8.179314920419287,8.216413040111181,8.231029255748238,8.246189150723705,8.27860905550814,8.292221105092903
1990-01-25,7.877171871279452,7.898203629815306,7.918257402354911,7.937379865913666,7.973006627213678,8.06174992888293,8.179607911590855,8.248201184520555,8.31538061715662,8.34499224644385,8.367816601742739,8.399325067723947,8.41098726229316
1990-01-26,7.894274434616399,7.916647098076229,7.937956364237847,7.958254045144883,7.996009552292265,8.089665173498938,8.212958293939906,8.283987149492255,8.353277115796246,8.384522814280713,8.409990792149319,8.447504732717684,8.461632531778148
1990-01-29,7.879353342989143,7.907694404370524,7.934571030869903,7.960058932974804,8.007152630030133,8.12188320801347,8.266611536942683,8.34492151658622,8.416144020886183,8.448164752215794,8.478150749921934,8.531285326321452,8.552400376157918
1990-01-30,7.953620210979551,7.976133729893307,7.99759282703278,8.01804852487765,8.056141695847497,8.150938030594716,8.276757634272924,8.350246753895172,8.423567956500026,8.457599565572758,8.485629531212092,8.526341286188329,8.54152578957561
1990-01-31,7.980365699191869,8.000681323673923,8.020144432906028,8.03879255647191,8.07378568166234,8.162622926105229,8.285807111253924,8.36193366018945,8.441971597682622,8.478960791623994,8.506046296825545,8.537824264641573,8.548727244628582
1990-02-01,7.974975047003016,7.995868693163114,8.015707434736912,8.034544552220845,8.069414053851723,8.154766970877771,8.263479238385452,8.322848976103025,8.376349846417437,8.398706577077544,8.417518691093322,8.448833061204386,8.461207999690902
1990-02-02,7.9928948076641575,8.012060702500149,8.030288779194812,8.0476251466324,8.079796174706477,8.159060102042314,8.261502770924638,8.318530373183767,8.370598361233194,8.391638592494324,8.407626792481672,8.431655634132024,8.440957835439825
1990-02-05,8.026450698566519,8.04850530914448,8.069467540631914,8.089391050552697,8.12632376577049,8.217026787563341,8.33310635177614,8.396355420377326,8.451181420277655,8.47086131853644,8.484115531872142,8.50375121640799,8.51156166546614
